 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date: ***. 0.    Time: ***:**: 0
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -1355.279 0.0707   0.8863E-07  0.3833E-05 -0.1410E-04  0.0000E+00      -1  -0.133E-06   20.00
   2    -2.0000   -1856.990 0.0693   0.2337E-07  0.2104E-05 -0.6995E-05  0.7545E-04      -1  -0.659E-07   20.00
   3    -4.0000   -1845.356 0.0693   0.2415E-07  0.2133E-05  0.2150E-06  0.6451E-04      -1   0.203E-08   20.00
   4    -6.0000   -1818.161 0.0694   0.2596E-07  0.2201E-05 -0.1955E-06  0.5571E-04      -1  -0.184E-08   20.00
   5    -8.0000   -1874.887 0.0693   0.2217E-07  0.2059E-05 -0.4371E-06  0.1368E-03      -1  -0.412E-08   20.00
   6   -10.0000   -1888.308 0.0692   0.2128E-07  0.2026E-05 -0.7280E-07  0.4728E-03      -1  -0.686E-09   20.00
   7   -12.0000   -1884.261 0.0692   0.2155E-07  0.2036E-05  0.1464E-07  0.3469E-03      -1   0.138E-09   20.00
   8   -14.0000   -1881.581 0.0692   0.2173E-07  0.2043E-05  0.1712E-08  0.3158E-03      -1   0.161E-10   20.00
   9   -16.0000   -1879.942 0.0692   0.2184E-07  0.2047E-05 -0.2176E-07  0.3364E-03      -1  -0.205E-09   20.00
  10   -18.0000   -1881.577 0.0692   0.2173E-07  0.2043E-05  0.1318E-07  0.6261E-03      -1   0.124E-09   20.00
  11   -20.0000   -1873.580 0.0693   0.2226E-07  0.2063E-05  0.1685E-06  0.2741E-03      -1   0.159E-08   20.00
  12   -22.0000   -1848.118 0.0693   0.2396E-07  0.2126E-05  0.3156E-06  0.1239E-03      -1   0.297E-08   20.00
  13   -24.0000   -1817.297 0.0694   0.2602E-07  0.2203E-05  0.1776E-05  0.1074E-03      -1   0.167E-07   20.00
  14   -26.0000   -1619.623 0.0698   0.3923E-07  0.2696E-05  0.2893E-05  0.6199E-04      -1   0.273E-07   20.00
