 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date: ***. 0.    Time: ***:**: 0
 Units: L = cm   , T = days , M = mmol 



                               Node(  1)                      Node(  9)

         time         h        theta    Temp         h        theta    Temp   
          0.0010    -1355.28  0.0707  0.797E-06      -1880.11  0.0692 -0.227E-07
          0.0072    -1355.31  0.0707 -0.541E-06      -1881.00  0.0692 -0.269E-07
          0.0249    -1355.37  0.0707  0.136E-06      -1883.59  0.0692 -0.394E-07
          0.0753    -1355.57  0.0707  0.392E-08      -1891.01  0.0692 -0.733E-07
          0.2101    -1356.11  0.0707  0.280E-08      -1910.82  0.0692 -0.151E-06
          0.2500    -1356.27  0.0707 -0.117E-07      -1916.70  0.0692 -0.170E-06
          0.4000    -1356.87  0.0707  0.562E-07      -1938.80  0.0691 -0.295E-06
          0.5000    -1357.27  0.0707  0.195E-07      -1953.60  0.0691 -0.384E-06
          0.6000    -1357.68  0.0707 -0.175E-07      -1971.53  0.0690 -0.459E-06
          0.7500    -1358.28  0.0707 -0.739E-07      -2006.10  0.0690 -0.523E-06
          0.8000    -1358.48  0.0707  0.560E-07      -2017.65  0.0690 -0.540E-06
          1.0000    -1359.30  0.0707 -0.207E-07      -2063.85  0.0689 -0.596E-06
end
