 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date: ***. 0.    Time: ***:**: 0
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-02  0.10000E-02    2        2    -4    -5     T
        5  0.7187000E-02  0.21970E-02    2       10    -4    -5     T
        9  0.2485769E-01  0.62749E-02    2       18    -4    -5     T
       13  0.7532693E-01  0.17922E-01    2       26    -4    -5     T
       17  0.2100747E+00  0.39925E-01    2       34    -4    -5     T
       18  0.2500000E+00  0.39925E-01    2       36    -4    -5     T
       21  0.4000000E+00  0.50000E-01    2       42    -4    -5     T
       23  0.5000000E+00  0.50000E-01    2       46    -4    -5     T
       25  0.6000000E+00  0.50000E-01    2       50    -4    -5     T
       28  0.7500000E+00  0.50000E-01    2       56    -4    -5     T
       29  0.8000000E+00  0.50000E-01    2       58    -4    -5     T
       33  0.1000000E+01  0.50000E-01    2       66    -4    -5     T
end
