 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date: ***. 0.    Time: ***:**: 0
 Units: L = cm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer    PhSeq     PhLeaf
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]      [-]    [L]          [L]         [L]         [L]

       0.0010  0.00000E+00  0.61000E-02  0.79710E-06  0.61000E-02 -0.94616E-07  0.00000E+00  0.61000E-05  0.79710E-09  0.61000E-05 -0.94616E-10 -0.13553E+04 -0.15983E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.14119E+02  0.00000E+00  0.79710E-09      1  0.00000E+00      0.000 -0.18805E+04 -0.31901E+04
       0.0072  0.00000E+00  0.61000E-02 -0.54129E-06  0.61000E-02 -0.94616E-07  0.00000E+00  0.43841E-04 -0.45166E-08  0.43841E-04 -0.68001E-09 -0.13553E+04 -0.15994E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.14119E+02  0.00000E+00  0.15940E-08      5  0.00000E+00      0.000 -0.18817E+04 -0.31912E+04
       0.0249  0.00000E+00  0.61000E-02  0.13579E-06  0.61000E-02 -0.94616E-07  0.00000E+00  0.15163E-03 -0.79869E-08  0.15163E-03 -0.23519E-08 -0.13554E+04 -0.16004E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.14119E+02  0.00000E+00  0.24461E-08      9  0.00000E+00      0.000 -0.18844E+04 -0.31940E+04
       0.0753  0.00000E+00  0.61000E-02  0.39154E-08  0.61000E-02 -0.94616E-07  0.00000E+00  0.45949E-03 -0.13026E-07  0.45949E-03 -0.71271E-08 -0.13556E+04 -0.16029E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.14119E+02  0.00000E+00  0.25163E-08     13  0.00000E+00      0.000 -0.18924E+04 -0.32019E+04
       0.2101  0.00000E+00  0.61000E-02  0.28049E-08  0.61000E-02 -0.94616E-07  0.00000E+00  0.12815E-02 -0.13936E-07  0.12815E-02 -0.19876E-07 -0.13561E+04 -0.16098E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.14118E+02  0.00000E+00  0.42708E-08     17  0.00000E+00      0.000 -0.19135E+04 -0.32230E+04
       0.2500  0.00000E+00  0.61000E-02 -0.11678E-07  0.61000E-02 -0.94616E-07  0.00000E+00  0.15250E-02 -0.14402E-07  0.15250E-02 -0.23654E-07 -0.13563E+04 -0.16118E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.14117E+02  0.00000E+00  0.42708E-08     18  0.00000E+00      0.000 -0.19197E+04 -0.32293E+04
       0.4000  0.00000E+00  0.61000E-02  0.56189E-07  0.61000E-02 -0.94616E-07  0.00000E+00  0.24400E-02 -0.10684E-07  0.24400E-02 -0.37846E-07 -0.13569E+04 -0.16201E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.14117E+02  0.00000E+00  0.10805E-07     21  0.00000E+00      0.000 -0.19467E+04 -0.32563E+04
       0.5000  0.00000E+00  0.61000E-02  0.19537E-07  0.61000E-02 -0.94616E-07  0.00000E+00  0.30500E-02 -0.78112E-08  0.30500E-02 -0.47308E-07 -0.13573E+04 -0.16262E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.14116E+02  0.00000E+00  0.13678E-07     23  0.00000E+00      0.000 -0.19669E+04 -0.32765E+04
       0.6000  0.00000E+00  0.61000E-02 -0.17450E-07  0.61000E-02 -0.94616E-07  0.00000E+00  0.36600E-02 -0.86310E-08  0.36600E-02 -0.56770E-07 -0.13577E+04 -0.16326E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.14115E+02  0.00000E+00  0.13731E-07     25  0.00000E+00      0.000 -0.19882E+04 -0.32978E+04
       0.7500  0.00000E+00  0.61000E-02 -0.73940E-07  0.61000E-02 -0.94616E-07  0.00000E+00  0.45750E-02 -0.16891E-07  0.45750E-02 -0.70962E-07 -0.13583E+04 -0.16431E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.14114E+02  0.00000E+00  0.13731E-07     28  0.00000E+00      0.000 -0.20222E+04 -0.33318E+04
       0.8000  0.00000E+00  0.61000E-02  0.55977E-07  0.61000E-02 -0.94616E-07  0.00000E+00  0.48800E-02 -0.14092E-07  0.48800E-02 -0.75693E-07 -0.13585E+04 -0.16467E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.14114E+02  0.00000E+00  0.16530E-07     29  0.00000E+00      0.000 -0.20337E+04 -0.33433E+04
       1.0000  0.00000E+00  0.61000E-02 -0.20682E-07  0.61000E-02 -0.94616E-07  0.00000E+00  0.61000E-02 -0.12448E-07  0.61000E-02 -0.94616E-07 -0.13593E+04 -0.16611E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.14113E+02  0.00000E+00  0.19277E-07     33  0.00000E+00      0.000 -0.20797E+04 -0.33892E+04
end
